S.No#,CarTitle,CarCompany,ModelYear,Mileage(km),EngineType,Transmission,RegisteredCIty,CarColor,EngineCapacity(cc),BodyType,Price(PKR_lacs),PredictedPrice_LR,PredictedPrice_RR,PredictedPrice_SVR
2682,Suzuki Alto VXR 2022,Suzuki,2022,8000,Petrol,Manual,Punjab,White,660.0,Hatchback,21.85,21.56402032074311,21.47680245219908,18.91317615774784
2683,Changan Karvaan Plus 2021,Changan,2021,14500,Petrol,Manual,Rawalpindi,White,1000.0,Mini Van,21.85,21.965240006162276,21.764037022721823,26.805383626652194
2684,Suzuki Alto VXR 2022,Suzuki,2022,2000,Petrol,Manual,Un-Registered,Silver,660.0,Hatchback,21.9,23.575049138022223,23.532990433386658,18.913443377631964
2685,Suzuki Alto VXR 2022,Suzuki,2022,6500,Petrol,Manual,Sindh,White,660.0,Hatchback,21.9,20.86364398544174,20.795928827191346,18.913099123119714
2686,Suzuki Wagon R VXR 2021,Suzuki,2021,7000,Petrol,Manual,Islamabad,Silver,1000.0,Hatchback,21.9,27.025970364291425,26.960380431950398,26.805173222555872
2687,Suzuki Alto VXR 2021,Suzuki,2021,10115,Petrol,Manual,Islamabad,White,660.0,Hatchback,21.9,20.202687067481747,20.1768319911489,18.908951156042754
2688,Suzuki Alto VXR 2021,Suzuki,2021,15000,Petrol,Manual,Islamabad,Silver,660.0,Hatchback,21.9,19.367941905149564,19.31223983755808,18.908934443768352
2689,Suzuki Alto VXR 2022,Suzuki,2022,5000,Petrol,Manual,Abbottabad,White,660.0,Hatchback,21.9,21.791094680195783,21.743023975859614,18.913189654289603
2690,Suzuki Alto VXR 2021,Suzuki,2021,22000,Petrol,Manual,Islamabad,White,660.0,Hatchback,21.9,20.202687067481747,20.1768319911489,18.908951156042754
2691,Suzuki Alto VXR 2021,Suzuki,2021,9500,Petrol,Manual,Islamabad,White,660.0,Hatchback,21.9,20.202687067481747,20.1768319911489,18.908951156042754
2692,Suzuki Wagon R VXL 2020,Suzuki,2020,31000,Petrol,Manual,Punjab,White,1000.0,Hatchback,21.9,25.04933295443061,24.972940051600744,26.800734317265004
2693,Suzuki Alto VXR 2022,Suzuki,2022,6300,Petrol,Manual,Rawalpindi,Black,660.0,Hatchback,21.9,22.652016945835385,22.540007412592786,18.91329760971712
2694,Suzuki Alto VXR 2022,Suzuki,2022,1980,Petrol,Manual,Un-Registered,White,660.0,Hatchback,21.9,24.409794300354406,24.397582586977478,18.913460090309407
